Infinitive,утону́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,утону́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,утону́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,утону́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,утону́
2nd Sing,уто́нешь
3rd Sing,уто́нет
1st Pl,уто́нем
2nd Pl,уто́нете
3rd Pl,уто́нут
Past M,утону́л
Past F,утону́ла
Past N,утону́ло
Past PL,утону́ли
Imp S,утони́
Imp PL,утони́те
