Infinitive,утопи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,утопи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уто́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,утопи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,утопи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,утоплю́
2nd Sing,уто́пишь
3rd Sing,уто́пит
1st Pl,уто́пим
2nd Pl,уто́пите
3rd Pl,уто́пят
Past M,утопи́л
Past F,утопи́ла
Past N,утопи́ло
Past PL,утопи́ли
Imp S,утопи́
Imp PL,утопи́те
