Infinitive,утека́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,утека́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,утека́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,утека́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,утека́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,утека́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,утека́ю
2nd Sing,утека́ешь
3rd Sing,утека́ет
1st Pl,утека́ем
2nd Pl,утека́ете
3rd Pl,утека́ют
Past M,утека́л
Past F,утека́ла
Past N,утека́ло
Past PL,утека́ли
Imp S,утека́й
Imp PL,утека́йте
