Infinitive,утверди́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,утверди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,утверждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,утверди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,утверди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,утвержу́
2nd Sing,утверди́шь
3rd Sing,утверди́т
1st Pl,утверди́м
2nd Pl,утверди́те
3rd Pl,утвердя́т
Past M,утверди́л
Past F,утверди́ла
Past N,утверди́ло
Past PL,утверди́ли
Imp S,утверди́
Imp PL,утверди́те
