Infinitive,утеша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,утеша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,утеша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,утеша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,утеша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,утеша́юсь
2nd Sing,утеша́ешься
3rd Sing,утеша́ется
1st Pl,утеша́емся
2nd Pl,утеша́етесь
3rd Pl,утеша́ются
Past M,утеша́лся
Past F,утеша́лась
Past N,утеша́лось
Past PL,утеша́лись
Imp S,утеша́йся
Imp PL,утеша́йтесь
