Infinitive,утвержда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,утвержда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,утвержда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,утвержда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,утвержда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,утвержда́юсь
2nd Sing,утвержда́ешься
3rd Sing,утвержда́ется
1st Pl,утвержда́емся
2nd Pl,утвержда́етесь
3rd Pl,утвержда́ются
Past M,утвержда́лся
Past F,утвержда́лась
Past N,утвержда́лось
Past PL,утвержда́лись
Imp S,утвержда́йся
Imp PL,утвержда́йтесь
