Infinitive,утверди́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,утверди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,утверди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,утвержу́сь
2nd Sing,утверди́шься
3rd Sing,утверди́тся
1st Pl,утверди́мся
2nd Pl,утверди́тесь
3rd Pl,утвердя́тся
Past M,утверди́лся
Past F,утверди́лась
Past N,утверди́лось
Past PL,утверди́лись
Imp S,утверди́сь
Imp PL,утверди́тесь
