Infinitive,уте́шиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уте́шившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уте́шившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уте́шусь
2nd Sing,уте́шишься
3rd Sing,уте́шится
1st Pl,уте́шимся
2nd Pl,уте́шитесь
3rd Pl,уте́шатся
Past M,уте́шился
Past F,уте́шилась
Past N,уте́шилось
Past PL,уте́шились
Imp S,уте́шься
Imp PL,уте́шьтесь
