Infinitive,уте́шить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уте́шивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уте́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уте́шив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уте́шивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уте́шу
2nd Sing,уте́шишь
3rd Sing,уте́шит
1st Pl,уте́шим
2nd Pl,уте́шите
3rd Pl,уте́шат
Past M,уте́шил
Past F,уте́шила
Past N,уте́шило
Past PL,уте́шили
Imp S,уте́шь
Imp PL,уте́шьте
