Infinitive,утоли́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,утоли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,утолённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,утоли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,утоли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,утолю́
2nd Sing,утоли́шь
3rd Sing,утоли́т
1st Pl,утоли́м
2nd Pl,утоли́те
3rd Pl,утоля́т
Past M,утоли́л
Past F,утоли́ла
Past N,утоли́ло
Past PL,утоли́ли
Imp S,утоли́
Imp PL,утоли́те
