Infinitive,утоми́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,утоми́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,утоми́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,утомлю́сь
2nd Sing,утоми́шься
3rd Sing,утоми́тся
1st Pl,утоми́мся
2nd Pl,утоми́тесь
3rd Pl,утомя́тся
Past M,утоми́лся
Past F,утоми́лась
Past N,утоми́лось
Past PL,утоми́лись
Imp S,утоми́сь
Imp PL,утоми́тесь
