Infinitive,уткну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уткну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,у́ткнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уткну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уткну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уткну́
2nd Sing,уткнёшь
3rd Sing,уткнёт
1st Pl,уткнём
2nd Pl,уткнёте
3rd Pl,уткну́т
Past M,уткну́л
Past F,уткну́ла
Past N,уткну́ло
Past PL,уткну́ли
Imp S,уткни́
Imp PL,уткни́те
