Infinitive,утащи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,утащи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ута́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,утащи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,утащи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,утащу́
2nd Sing,ута́щишь
3rd Sing,ута́щит
1st Pl,ута́щим
2nd Pl,ута́щите
3rd Pl,ута́щат
Past M,утащи́л
Past F,утащи́ла
Past N,утащи́ло
Past PL,утащи́ли
Imp S,утащи́
Imp PL,утащи́те
