Infinitive,утеря́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,утеря́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уте́рянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,утеря́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,утеря́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,утеря́ю
2nd Sing,утеря́ешь
3rd Sing,утеря́ет
1st Pl,утеря́ем
2nd Pl,утеря́ете
3rd Pl,утеря́ют
Past M,утеря́л
Past F,утеря́ла
Past N,утеря́ло
Past PL,утеря́ли
Imp S,утеря́й
Imp PL,утеря́йте
