Infinitive,уточня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уточня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уточня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уточня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уточня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уточня́юсь
2nd Sing,уточня́ешься
3rd Sing,уточня́ется
1st Pl,уточня́емся
2nd Pl,уточня́етесь
3rd Pl,уточня́ются
Past M,уточня́лся
Past F,уточня́лась
Past N,уточня́лось
Past PL,уточня́лись
Imp S,уточня́йся
Imp PL,уточня́йтесь
