Infinitive,уте́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,утёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,утёкши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,утеку́
2nd Sing,утечёшь
3rd Sing,утечёт
1st Pl,утечём
2nd Pl,утечёте
3rd Pl,утеку́т
Past M,утёк
Past F,утекла́
Past N,утекло́
Past PL,утекли́
Imp S,утеки́
Imp PL,утеки́те
