Infinitive,адресова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,адресу́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,адресова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,адресу́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,адресова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,адресу́юсь
2nd Sing,адресу́ешься
3rd Sing,адресу́ется
1st Pl,адресу́емся
2nd Pl,адресу́етесь
3rd Pl,адресу́ются
Past M,адресова́лся
Past F,адресова́лась
Past N,адресова́лось
Past PL,адресова́лись
Imp S,адресу́йся
Imp PL,адресу́йтесь
