Infinitive,ква́кать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ква́кающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ква́кавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ква́кая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ква́кав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ква́кавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ква́каю
2nd Sing,ква́каешь
3rd Sing,ква́кает
1st Pl,ква́каем
2nd Pl,ква́каете
3rd Pl,ква́кают
Past M,ква́кал
Past F,ква́кала
Past N,ква́кало
Past PL,ква́кали
Imp S,ква́кай
Imp PL,ква́кайте
