Infinitive,озву́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,озву́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,озву́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,озву́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,озву́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,озву́чу
2nd Sing,озву́чишь
3rd Sing,озву́чит
1st Pl,озву́чим
2nd Pl,озву́чите
3rd Pl,озву́чат
Past M,озву́чил
Past F,озву́чила
Past N,озву́чило
Past PL,озву́чили
Imp S,озву́чь
Imp PL,озву́чьте
