Infinitive,озари́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,озари́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,озарённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,озари́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,озари́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,озарю́
2nd Sing,озари́шь
3rd Sing,озари́т
1st Pl,озари́м
2nd Pl,озари́те
3rd Pl,озаря́т
Past M,озари́л
Past F,озари́ла
Past N,озари́ло
Past PL,озари́ли
Imp S,озари́
Imp PL,озари́те
