Infinitive,озабо́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,озабо́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,озабо́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,озабо́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,озабо́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,озабо́чу
2nd Sing,озабо́тишь
3rd Sing,озабо́тит
1st Pl,озабо́тим
2nd Pl,озабо́тите
3rd Pl,озабо́тят
Past M,озабо́тил
Past F,озабо́тила
Past N,озабо́тило
Past PL,озабо́тили
Imp S,озабо́ть
Imp PL,озабо́тьте
