Infinitive,озагла́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,озагла́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,озагла́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,озагла́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,озагла́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,озагла́влю
2nd Sing,озагла́вишь
3rd Sing,озагла́вит
1st Pl,озагла́вим
2nd Pl,озагла́вите
3rd Pl,озагла́вят
Past M,озагла́вил
Past F,озагла́вила
Past N,озагла́вило
Past PL,озагла́вили
Imp S,озагла́вь
Imp PL,озагла́вьте
