Infinitive,озабо́титься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,озабо́тившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,озабо́тившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,озабо́чусь
2nd Sing,озабо́тишься
3rd Sing,озабо́тится
1st Pl,озабо́тимся
2nd Pl,озабо́титесь
3rd Pl,озабо́тятся
Past M,озабо́тился
Past F,озабо́тилась
Past N,озабо́тилось
Past PL,озабо́тились
Imp S,озабо́ться
Imp PL,озабо́тьтесь
