Infinitive,озло́бить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,озло́бивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,озло́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,озло́бив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,озло́бивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,озло́блю
2nd Sing,озло́бишь
3rd Sing,озло́бит
1st Pl,озло́бим
2nd Pl,озло́бите
3rd Pl,озло́бят
Past M,озло́бил
Past F,озло́била
Past N,озло́било
Past PL,озло́били
Imp S,озло́бь
Imp PL,озло́бьте
