Infinitive,озира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,озира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,озира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,озира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,озира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,озира́юсь
2nd Sing,озира́ешься
3rd Sing,озира́ется
1st Pl,озира́емся
2nd Pl,озира́етесь
3rd Pl,озира́ются
Past M,озира́лся
Past F,озира́лась
Past N,озира́лось
Past PL,озира́лись
Imp S,озира́йся
Imp PL,озира́йтесь
