Infinitive,ознаменова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ознаменова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ознаменова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ознамену́юсь
2nd Sing,ознамену́ешься
3rd Sing,ознамену́ется
1st Pl,ознамену́емся
2nd Pl,ознамену́етесь
3rd Pl,ознамену́ются
Past M,ознаменова́лся
Past F,ознаменова́лась
Past N,ознаменова́лось
Past PL,ознаменова́лись
Imp S,ознамену́йся
Imp PL,ознамену́йтесь
