Infinitive,озли́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,озли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,озли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,озлю́сь
2nd Sing,озли́шься
3rd Sing,озли́тся
1st Pl,озли́мся
2nd Pl,озли́тесь
3rd Pl,озля́тся
Past M,озли́лся
Past F,озли́лась
Past N,озли́лось
Past PL,озли́лись
Imp S,озли́сь
Imp PL,озли́тесь
