Infinitive,ознако́миться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ознако́мившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ознако́мившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ознако́млюсь
2nd Sing,ознако́мишься
3rd Sing,ознако́мится
1st Pl,ознако́мимся
2nd Pl,ознако́митесь
3rd Pl,ознако́мятся
Past M,ознако́мился
Past F,ознако́милась
Past N,ознако́милось
Past PL,ознако́мились
Imp S,ознако́мься
Imp PL,ознако́мьтесь
