Infinitive,озвере́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,озвере́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,озвере́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,озвере́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,озвере́ю
2nd Sing,озвере́ешь
3rd Sing,озвере́ет
1st Pl,озвере́ем
2nd Pl,озвере́ете
3rd Pl,озвере́ют
Past M,озвере́л
Past F,озвере́ла
Past N,озвере́ло
Past PL,озвере́ли
Imp S,озвере́й
Imp PL,озвере́йте
