Infinitive,озя́бнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,озя́бший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,озя́бши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,озя́бну
2nd Sing,озя́бнешь
3rd Sing,озя́бнет
1st Pl,озя́бнем
2nd Pl,озя́бнете
3rd Pl,озя́бнут
Past M,озя́б
Past F,озя́бла
Past N,озя́бло
Past PL,озя́бли
Imp S,озя́бни
Imp PL,озя́бните
