Infinitive,изма́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изма́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изма́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изма́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изма́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изма́жу
2nd Sing,изма́жешь
3rd Sing,изма́жет
1st Pl,изма́жем
2nd Pl,изма́жете
3rd Pl,изма́жут
Past M,изма́зал
Past F,изма́зала
Past N,изма́зало
Past PL,изма́зали
Imp S,изма́жь
Imp PL,изма́жьте
