Infinitive,изму́читься
Zaliznyak Class,4a // 1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изму́чившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изму́чившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,изму́чусь
2nd Sing,изму́чишься
3rd Sing,изму́чится
1st Pl,изму́чимся
2nd Pl,изму́читесь
3rd Pl,изму́чатся
Past M,изму́чился
Past F,изму́чилась
Past N,изму́чилось
Past PL,изму́чились
Imp S,изму́чься
Imp PL,изму́чьтесь
