Infinitive,извини́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,извини́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,извини́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,извиню́сь
2nd Sing,извини́шься
3rd Sing,извини́тся
1st Pl,извини́мся
2nd Pl,извини́тесь
3rd Pl,извиня́тся
Past M,извини́лся
Past F,извини́лась
Past N,извини́лось
Past PL,извини́лись
Imp S,извини́сь
Imp PL,извини́тесь
