Infinitive,изобрази́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изобрази́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изображённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изобрази́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изобрази́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изображу́
2nd Sing,изобрази́шь
3rd Sing,изобрази́т
1st Pl,изобрази́м
2nd Pl,изобрази́те
3rd Pl,изобразя́т
Past M,изобрази́л
Past F,изобрази́ла
Past N,изобрази́ло
Past PL,изобрази́ли
Imp S,изобрази́
Imp PL,изобрази́те
