Infinitive,изгото́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изгото́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изгото́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,изгото́влюсь
2nd Sing,изгото́вишься
3rd Sing,изгото́вится
1st Pl,изгото́вимся
2nd Pl,изгото́витесь
3rd Pl,изгото́вятся
Past M,изгото́вился
Past F,изгото́вилась
Past N,изгото́вилось
Past PL,изгото́вились
Imp S,изгото́вься
Imp PL,изгото́вьтесь
