Infinitive,израсхо́довать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,израсхо́довавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,израсхо́дованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,израсхо́довав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,израсхо́довавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,израсхо́дую
2nd Sing,израсхо́дуешь
3rd Sing,израсхо́дует
1st Pl,израсхо́дуем
2nd Pl,израсхо́дуете
3rd Pl,израсхо́дуют
Past M,израсхо́довал
Past F,израсхо́довала
Past N,израсхо́довало
Past PL,израсхо́довали
Imp S,израсхо́дуй
Imp PL,израсхо́дуйте
