Infinitive,изогну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изогну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изогну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,изогну́сь
2nd Sing,изогнёшься
3rd Sing,изогнётся
1st Pl,изогнёмся
2nd Pl,изогнётесь
3rd Pl,изогну́тся
Past M,изогну́лся
Past F,изогну́лась
Past N,изогну́лось
Past PL,изогну́лись
Imp S,изогни́сь
Imp PL,изогни́тесь
