Infinitive,изуве́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изуве́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изуве́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изуве́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изуве́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изуве́чу
2nd Sing,изуве́чишь
3rd Sing,изуве́чит
1st Pl,изуве́чим
2nd Pl,изуве́чите
3rd Pl,изуве́чат
Past M,изуве́чил
Past F,изуве́чила
Past N,изуве́чило
Past PL,изуве́чили
Imp S,изуве́чь
Imp PL,изуве́чьте
