Infinitive,извле́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,извлёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,извлечённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,извлёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,извлеку́
2nd Sing,извлечёшь
3rd Sing,извлечёт
1st Pl,извлечём
2nd Pl,извлечёте
3rd Pl,извлеку́т
Past M,извлёк
Past F,извлекла́
Past N,извлекло́
Past PL,извлекли́
Imp S,извлеки́
Imp PL,извлеки́те
