Infinitive,изры́ть
Zaliznyak Class,12a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изро́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изры́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изро́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изры́тый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,изро́я
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,изры́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,изры́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,изро́ю
2nd Sing,изро́ешь
3rd Sing,изро́ет
1st Pl,изро́ем
2nd Pl,изро́ете
3rd Pl,изро́ют
Past M,изры́л
Past F,изры́ла
Past N,изры́ло
Past PL,изры́ли
Imp S,изро́й
Imp PL,изро́йте
