Infinitive,извлека́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,извлека́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,извлека́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,извлека́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,извлека́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,извлека́юсь
2nd Sing,извлека́ешься
3rd Sing,извлека́ется
1st Pl,извлека́емся
2nd Pl,извлека́етесь
3rd Pl,извлека́ются
Past M,извлека́лся
Past F,извлека́лась
Past N,извлека́лось
Past PL,извлека́лись
Imp S,извлека́йся
Imp PL,извлека́йтесь
