Infinitive,износи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,износи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изно́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,износи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,износи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изношу́
2nd Sing,изно́сишь
3rd Sing,изно́сит
1st Pl,изно́сим
2nd Pl,изно́сите
3rd Pl,изно́сят
Past M,износи́л
Past F,износи́ла
Past N,износи́ло
Past PL,износи́ли
Imp S,износи́
Imp PL,износи́те
