Infinitive,излови́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,излови́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изло́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,излови́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,излови́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изловлю́
2nd Sing,изло́вишь
3rd Sing,изло́вит
1st Pl,изло́вим
2nd Pl,изло́вите
3rd Pl,изло́вят
Past M,излови́л
Past F,излови́ла
Past N,излови́ло
Past PL,излови́ли
Imp S,излови́
Imp PL,излови́те
