Infinitive,изобража́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изобража́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изобража́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изобража́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изобража́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изобража́юсь
2nd Sing,изобража́ешься
3rd Sing,изобража́ется
1st Pl,изобража́емся
2nd Pl,изобража́етесь
3rd Pl,изобража́ются
Past M,изобража́лся
Past F,изобража́лась
Past N,изобража́лось
Past PL,изобража́лись
Imp S,изобража́йся
Imp PL,изобража́йтесь
