Infinitive,изуро́довать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изуро́довавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изуро́дованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изуро́довав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изуро́довавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изуро́дую
2nd Sing,изуро́дуешь
3rd Sing,изуро́дует
1st Pl,изуро́дуем
2nd Pl,изуро́дуете
3rd Pl,изуро́дуют
Past M,изуро́довал
Past F,изуро́довала
Past N,изуро́довало
Past PL,изуро́довали
Imp S,изуро́дуй
Imp PL,изуро́дуйте
