Infinitive,извора́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,извора́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,извора́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,извора́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,извора́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,извора́чиваюсь
2nd Sing,извора́чиваешься
3rd Sing,извора́чивается
1st Pl,извора́чиваемся
2nd Pl,извора́чиваетесь
3rd Pl,извора́чиваются
Past M,извора́чивался
Past F,извора́чивалась
Past N,извора́чивалось
Past PL,извора́чивались
Imp S,извора́чивайся
Imp PL,извора́чивайтесь
