Infinitive,изменя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изменя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изменя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изменя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изменя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изменя́юсь
2nd Sing,изменя́ешься
3rd Sing,изменя́ется
1st Pl,изменя́емся
2nd Pl,изменя́етесь
3rd Pl,изменя́ются
Past M,изменя́лся
Past F,изменя́лась
Past N,изменя́лось
Past PL,изменя́лись
Imp S,изменя́йся
Imp PL,изменя́йтесь
