Infinitive,изойти́
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,изоше́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,исше́дший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изойдя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изоше́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изойду́
2nd Sing,изойдёшь
3rd Sing,изойдёт
1st Pl,изойдём
2nd Pl,изойдёте
3rd Pl,изойду́т
Past M,изошёл
Past F,изошла́
Past N,изошло́
Past PL,изошли́
Imp S,изойди́
Imp PL,изойди́те
