Infinitive,изре́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изре́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изречённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изре́кши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,изреку́
2nd Sing,изречёшь
3rd Sing,изречёт
1st Pl,изречём
2nd Pl,изречёте
3rd Pl,изреку́т
Past M,изрёк
Past F,изрекла́
Past N,изрекло́
Past PL,изрекли́
Imp S,изреки́
Imp PL,изреки́те
