Infinitive,избежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,избежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,избежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,избежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,избегу́
2nd Sing,избежи́шь
3rd Sing,избежи́т
1st Pl,избежи́м
2nd Pl,избежи́те
3rd Pl,избегу́т
Past M,избежа́л
Past F,избежа́ла
Past N,избежа́ло
Past PL,избежа́ли
Imp S,избеги́
Imp PL,избеги́те
