Infinitive,изумля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изумля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изумля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изумля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изумля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изумля́юсь
2nd Sing,изумля́ешься
3rd Sing,изумля́ется
1st Pl,изумля́емся
2nd Pl,изумля́етесь
3rd Pl,изумля́ются
Past M,изумля́лся
Past F,изумля́лась
Past N,изумля́лось
Past PL,изумля́лись
Imp S,изумля́йся
Imp PL,изумля́йтесь
