Infinitive,изуча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изуча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изуча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изуча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изуча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изуча́юсь
2nd Sing,изуча́ешься
3rd Sing,изуча́ется
1st Pl,изуча́емся
2nd Pl,изуча́етесь
3rd Pl,изуча́ются
Past M,изуча́лся
Past F,изуча́лась
Past N,изуча́лось
Past PL,изуча́лись
Imp S,изуча́йся
Imp PL,изуча́йтесь
