Infinitive,изуми́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изуми́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изумлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изуми́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изуми́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изумлю́
2nd Sing,изуми́шь
3rd Sing,изуми́т
1st Pl,изуми́м
2nd Pl,изуми́те
3rd Pl,изумя́т
Past M,изуми́л
Past F,изуми́ла
Past N,изуми́ло
Past PL,изуми́ли
Imp S,изуми́
Imp PL,изуми́те
