Infinitive,изме́ряться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изме́рявшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изме́рявшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,изме́ряюсь
2nd Sing,изме́ряешься
3rd Sing,изме́ряется
1st Pl,изме́ряемся
2nd Pl,изме́ряетесь
3rd Pl,изме́ряются
Past M,изме́рялся
Past F,изме́рялась
Past N,изме́рялось
Past PL,изме́рялись
Imp S,изме́ряйся
Imp PL,изме́ряйтесь
