Infinitive,избавля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,избавля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,избавля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,избавля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,избавля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,избавля́юсь
2nd Sing,избавля́ешься
3rd Sing,избавля́ется
1st Pl,избавля́емся
2nd Pl,избавля́етесь
3rd Pl,избавля́ются
Past M,избавля́лся
Past F,избавля́лась
Past N,избавля́лось
Past PL,избавля́лись
Imp S,избавля́йся
Imp PL,избавля́йтесь
