Infinitive,изучи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изучи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изу́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изучи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изучи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изучу́
2nd Sing,изу́чишь
3rd Sing,изу́чит
1st Pl,изу́чим
2nd Pl,изу́чите
3rd Pl,изу́чат
Past M,изучи́л
Past F,изучи́ла
Past N,изучи́ло
Past PL,изучи́ли
Imp S,изучи́
Imp PL,изучи́те
