Infinitive,изнаси́ловать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изнаси́ловавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изнаси́лованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изнаси́ловав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изнаси́ловавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изнаси́лую
2nd Sing,изнаси́луешь
3rd Sing,изнаси́лует
1st Pl,изнаси́луем
2nd Pl,изнаси́луете
3rd Pl,изнаси́луют
Past M,изнаси́ловал
Past F,изнаси́ловала
Past N,изнаси́ловало
Past PL,изнаси́ловали
Imp S,изнаси́луй
Imp PL,изнаси́луйте
