Infinitive,изгиба́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изгиба́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,изгиба́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изгиба́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,изгиба́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изгиба́юсь
2nd Sing,изгиба́ешься
3rd Sing,изгиба́ется
1st Pl,изгиба́емся
2nd Pl,изгиба́етесь
3rd Pl,изгиба́ются
Past M,изгиба́лся
Past F,изгиба́лась
Past N,изгиба́лось
Past PL,изгиба́лись
Imp S,изгиба́йся
Imp PL,изгиба́йтесь
