Infinitive,излива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,излива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,излива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,излива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,излива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,излива́юсь
2nd Sing,излива́ешься
3rd Sing,излива́ется
1st Pl,излива́емся
2nd Pl,излива́етесь
3rd Pl,излива́ются
Past M,излива́лся
Past F,излива́лась
Past N,излива́лось
Past PL,излива́лись
Imp S,излива́йся
Imp PL,излива́йтесь
