Infinitive,извини́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,извини́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,извинённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,извини́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,извини́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,извиню́
2nd Sing,извини́шь
3rd Sing,извини́т
1st Pl,извини́м
2nd Pl,извини́те
3rd Pl,извиня́т
Past M,извини́л
Past F,извини́ла
Past N,извини́ло
Past PL,извини́ли
Imp S,извини́
Imp PL,извини́те
