Infinitive,извести́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,извести́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,извещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,извести́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,извести́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,извещу́
2nd Sing,извести́шь
3rd Sing,извести́т
1st Pl,извести́м
2nd Pl,извести́те
3rd Pl,известя́т
Past M,извести́л
Past F,извести́ла
Past N,извести́ло
Past PL,извести́ли
Imp S,извести́
Imp PL,извести́те
