Infinitive,извести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изве́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изведённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изведя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изве́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изведу́
2nd Sing,изведёшь
3rd Sing,изведёт
1st Pl,изведём
2nd Pl,изведёте
3rd Pl,изведу́т
Past M,извёл
Past F,извела́
Past N,извело́
Past PL,извели́
Imp S,изведи́
Imp PL,изведи́те
