Infinitive,изби́ть
Zaliznyak Class,11*b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,изби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изби́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,изби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,изби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изобью́
2nd Sing,изобьёшь
3rd Sing,изобьёт
1st Pl,изобьём
2nd Pl,изобьёте
3rd Pl,изобью́т
Past M,изби́л
Past F,изби́ла
Past N,изби́ло
Past PL,изби́ли
Imp S,избе́й
Imp PL,избе́йте
