Infinitive,изверну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,изверну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,изверну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,изверну́сь
2nd Sing,извернёшься
3rd Sing,извернётся
1st Pl,извернёмся
2nd Pl,извернётесь
3rd Pl,изверну́тся
Past M,изверну́лся
Past F,изверну́лась
Past N,изверну́лось
Past PL,изверну́лись
Imp S,изверни́сь
Imp PL,изверни́тесь
